النموذج	م	الجانب	الهدف	المعيار	اقل قيمة	اعلى قيمة	اسم المعيار في النموذج	درجة المعيار	الترتيب	حالة العرض	المستوى
نموذج تقييم ERP System	6103	نظام الاصول الثابتة	المتطلبات العامة	يجب أن يوفر النظام للمستخدمين القدرة على نسخ معلومات الأصول من أصل آخر موجود مسبقًا	0	0	يجب أن يوفر النظام للمستخدمين القدرة على نسخ معلومات الأصول من أصل آخر موجود مسبقًا	0	435	1	0
نموذج تقييم ERP System	6102	نظام الاصول الثابتة	المتطلبات العامة	يجب أن يوفر النظام القدرة على إدخال مبلغ محدد من الإهلاك يدويًا كاستثناء لطرق الإهلاك العادية ، أي قدرة التجاوز.	0	0	يجب أن يوفر النظام القدرة على إدخال مبلغ محدد من الإهلاك يدويًا كاستثناء لطرق الإهلاك العادية ، أي قدرة التجاوز.	0	436	1	0
نموذج تقييم ERP System	6106	نظام الاصول الثابتة	المتطلبات العامة	يجب أن يوفر النظام القدرة على تعيين شخص أو دور مسؤول ، مثل أمين الحفظ ، لأصل رأسمالي.	0	0	يجب أن يوفر النظام القدرة على تعيين شخص أو دور مسؤول ، مثل أمين الحفظ ، لأصل رأسمالي.	0	432	1	0
نموذج تقييم ERP System	6105	نظام الاصول الثابتة	المتطلبات العامة	يجب أن يوفر النظام قسم "ملاحظات" للسماح بإدخال النص الحر	0	0	يجب أن يوفر النظام قسم "ملاحظات" للسماح بإدخال النص الحر	0	433	1	0
نموذج تقييم ERP System	6093	نظام الاصول الثابتة	المتطلبات العامة	يجب أن يتمتع النظام بالقدرة على تعديل الإهلاك وفقًا لذلك إذا تم إجراء تعديل صالح على التكلفة / العمر الإنتاجي للأصل. (مع مراجعة كاملة للتغييرات التي تم إجراؤها)	0	0	يجب أن يتمتع النظام بالقدرة على تعديل الإهلاك وفقًا لذلك إذا تم إجراء تعديل صالح على التكلفة / العمر الإنتاجي للأصل. (مع مراجعة كاملة للتغييرات التي تم إجراؤها)	0	445	1	0
نموذج تقييم ERP System	6092	نظام الاصول الثابتة	المتطلبات العامة	يجب أن يتمتع النظام بالقدرة على التفاعل مع أمر العمل وإدارة الأصول وإدارة الأسطول والأنظمة الأخرى.	0	0	يجب أن يتمتع النظام بالقدرة على التفاعل مع أمر العمل وإدارة الأصول وإدارة الأسطول والأنظمة الأخرى.	0	446	1	0
نموذج تقييم ERP System	6096	نظام الاصول الثابتة	المتطلبات العامة	يجب أن يسمح النظام بتحديث حقول الأصول (إذا تم إدخالها بشكل غير صحيح في الأصل) ، مثل تصنيف الأصول ، والموقع ، والتكلفة ، وما إلى ذلك مع إجراء مراجعة كامل للتغييرات التي تم إجراؤها.	0	0	يجب أن يسمح النظام بتحديث حقول الأصول (إذا تم إدخالها بشكل غير صحيح في الأصل) ، مثل تصنيف الأصول ، والموقع ، والتكلفة ، وما إلى ذلك مع إجراء مراجعة كامل للتغييرات التي تم إجراؤها.	0	442	1	0
نموذج تقييم ERP System	6095	نظام الاصول الثابتة	المتطلبات العامة	يجب أن يوفر النظام القدرة على مطالبة المستخدمين بالتحقق من تغييراتهم (على أصل موجود) قبل قبولهم في النظام. (مع مراجعة كاملة للتغييرات التي تم إجراؤها)	0	0	يجب أن يوفر النظام القدرة على مطالبة المستخدمين بالتحقق من تغييراتهم (على أصل موجود) قبل قبولهم في النظام. (مع مراجعة كاملة للتغييرات التي تم إجراؤها)	0	443	1	0
نموذج تقييم ERP System	5960	نظام المشتريات	فاتورة مشتريات خارجية	يحسب النظام تلقائيًا تاريخ استحقاق الدفع استنادًا إلى الإعدادات / القواعد التي يحددها المستخدم لكل مورد (على سبيل المثال ، 30 يومًا من تاريخ الفاتورة)	0	0	يحسب النظام تلقائيًا تاريخ استحقاق الدفع استنادًا إلى الإعدادات / القواعد التي يحددها المستخدم لكل مورد (على سبيل المثال ، 30 يومًا من تاريخ الفاتورة)	0	578	1	0
نموذج تقييم ERP System	5959	نظام المشتريات	فاتورة مشتريات خارجية	يسمح النظام للمستخدم بإلغاء تواريخ الاستحقاق المحسوبة تلقائيًا	0	0	يسمح النظام للمستخدم بإلغاء تواريخ الاستحقاق المحسوبة تلقائيًا	0	579	1	0
نموذج تقييم ERP System	5958	نظام المشتريات	فاتورة مشتريات خارجية	إمكانية إدخال الفواتير بعدة طرق كالتالي(استلام الفواتير إلكترونيا من البائعين - استيراد فواتير من البائعين - فواتير إدخال اليد من البائعين	0	0	إمكانية إدخال الفواتير بعدة طرق كالتالي(استلام الفواتير إلكترونيا من البائعين - استيراد فواتير من البائعين - فواتير إدخال اليد من البائعين	0	580	1	0
نموذج تقييم ERP System	5957	نظام المشتريات	فاتورة مشتريات خارجية	يمكن للمستخدم النهائي تعيين أنماط فردية متكررة لكل فاتورة (على سبيل المثال ، شهرية ، ربع سنوية ، سنوية)	0	0	يمكن للمستخدم النهائي تعيين أنماط فردية متكررة لكل فاتورة (على سبيل المثال ، شهرية ، ربع سنوية ، سنوية)	0	581	1	0
نموذج تقييم ERP System	5956	نظام المشتريات	فاتورة مشتريات خارجية	يمكن للمستخدم النهائي تجاوز النمط المتكرر للفاتورة	0	0	يمكن للمستخدم النهائي تجاوز النمط المتكرر للفاتورة	0	582	1	0
نموذج تقييم ERP System	5955	نظام المشتريات	فاتورة مشتريات خارجية	القدرة على تجاوز نمط إعادة الفاتورة مقيدة بناءً على إذن المستخدم النهائي	0	0	القدرة على تجاوز نمط إعادة الفاتورة مقيدة بناءً على إذن المستخدم النهائي	0	583	1	0
نموذج تقييم ERP System	5954	نظام المشتريات	فاتورة مشتريات خارجية	إنشاء فواتير متكررة متعددة لمورد واحد	0	0	إنشاء فواتير متكررة متعددة لمورد واحد	0	584	1	0
نموذج تقييم ERP System	5953	نظام المشتريات	فاتورة مشتريات خارجية	قم بإنشاء فواتير متكررة متعددة لبائعين متعددين من خلال عملية مجمعة	0	0	قم بإنشاء فواتير متكررة متعددة لبائعين متعددين من خلال عملية مجمعة	0	585	1	0
نموذج تقييم ERP System	5952	نظام المشتريات	فاتورة مشتريات خارجية	يمكن للمستخدم النهائي تحديث الفاتورة المتكررة يدويًا بما في ذلك البنود الفردية والحسابات وتاريخ الاستحقاق وتاريخ الفاتورة وشروط الدفع	0	0	يمكن للمستخدم النهائي تحديث الفاتورة المتكررة يدويًا بما في ذلك البنود الفردية والحسابات وتاريخ الاستحقاق وتاريخ الفاتورة وشروط الدفع	0	586	1	0
نموذج تقييم ERP System	5951	نظام المشتريات	فاتورة مشتريات خارجية	تعيين نطاقات التواريخ لكل فاتورة متكررة لتحديد تضمين أو استبعاد الفاتورة في عملية دُفعية لإنشاء الفواتير (على سبيل المثال ، تاريخ البدء في 3/1/2022 سيمنع التضمين في الدُفعات قبل 2022/3/1 وتاريخ الانتهاء 6/30 / 2022 يمنع التضمين في عملية الدُفعات بعد 30/6/	0	0	تعيين نطاقات التواريخ لكل فاتورة متكررة لتحديد تضمين أو استبعاد الفاتورة في عملية دُفعية لإنشاء الفواتير (على سبيل المثال ، تاريخ البدء في 3/1/2022 سيمنع التضمين في الدُفعات قبل 2022/3/1 وتاريخ الانتهاء 6/30 / 2022 يمنع التضمين في عملية الدُفعات بعد 30/6/	0	587	1	0
نموذج تقييم ERP System	5950	نظام المشتريات	فاتورة مشتريات خارجية	احسب تواريخ الاستحقاق تلقائيًا بناءً على المعايير المعينة للمورد بالتالي (حدد معايير تاريخ الاستحقاق على أساس المورد حسب المورد - القدرة على تحديث تاريخ الاستحقاق يدويًا مقيدة بالإذن )	0	0	احسب تواريخ الاستحقاق تلقائيًا بناءً على المعايير المعينة للمورد بالتالي (حدد معايير تاريخ الاستحقاق على أساس المورد حسب المورد - القدرة على تحديث تاريخ الاستحقاق يدويًا مقيدة بالإذن )	0	588	1	0
نموذج تقييم ERP System	5949	نظام المشتريات	فاتورة مشتريات خارجية	يوفر القدرة على الحد من المدفوعات الزائدة لفاتورة أكبر من مبلغ أمر الشراء المرتبط ( القدرة على تقييد الدفع بالدولار - القدرة على تقييد الدفع بالنسبة المئوية )	0	0	يوفر القدرة على الحد من المدفوعات الزائدة لفاتورة أكبر من مبلغ أمر الشراء المرتبط ( القدرة على تقييد الدفع بالدولار - القدرة على تقييد الدفع بالنسبة المئوية )	0	589	1	0
نموذج تقييم ERP System	6383	نظام الموارد البشرية	المتطلبات العامة - ادارة الوقت - الاجازات	يجب أن يوفر النظام القدرة على الاندماج بسلاسة مع جميع الوحدات الأخرى ضمن مجموعة البائعين مثل كشوف المرتبات ، والمزايا ، وإدارة شؤون الموظفين ، والتدريب ، إلخ.	0	0	يجب أن يوفر النظام القدرة على الاندماج بسلاسة مع جميع الوحدات الأخرى ضمن مجموعة البائعين مثل كشوف المرتبات ، والمزايا ، وإدارة شؤون الموظفين ، والتدريب ، إلخ.	0	155	1	0
نموذج تقييم ERP System	6382	نظام الموارد البشرية	المتطلبات العامة - ادارة الوقت - الاجازات	يجب أن يوفر النظام القدرة على تتبع الإجازة / الغياب حسب النوع (على سبيل المثال ، الإجازة ، والوقت المرضي ، ووقت الكمبيوتر ، و FMLA ، ونظام إجازة الولاية ، والإداري ، وواجب هيئة المحلفين ، والإعاقة ، والجيش ، وتعويضات العمال ، والشخصي ، وغير المدفوع الأجر 	0	0	يجب أن يوفر النظام القدرة على تتبع الإجازة / الغياب حسب النوع (على سبيل المثال ، الإجازة ، والوقت المرضي ، ووقت الكمبيوتر ، و FMLA ، ونظام إجازة الولاية ، والإداري ، وواجب هيئة المحلفين ، والإعاقة ، والجيش ، وتعويضات العمال ، والشخصي ، وغير المدفوع الأجر 	0	156	1	0
نموذج تقييم ERP System	6381	نظام الموارد البشرية	المتطلبات العامة - ادارة الوقت - الاجازات	يجب أن يوفر النظام القدرة على الاطلاع على الإنترنت والإبلاغ عن استحقاق الإجازة / الغياب الفردي وبيانات الإجازة / الغياب (تشمل أنواع الإجازة / الغياب المرض ، والإجازة ، والإجازة ، و PTO ، وما إلى ذلك).	0	0	يجب أن يوفر النظام القدرة على الاطلاع على الإنترنت والإبلاغ عن استحقاق الإجازة / الغياب الفردي وبيانات الإجازة / الغياب (تشمل أنواع الإجازة / الغياب المرض ، والإجازة ، والإجازة ، و PTO ، وما إلى ذلك).	0	157	1	0
نموذج تقييم ERP System	6380	نظام الموارد البشرية	المتطلبات العامة - ادارة الوقت - الاجازات	يجب أن يوفر النظام القدرة على تتبع أي وثائق و / أو نماذج موافقة مطلوبة للإجازة / الغياب (على سبيل المثال ، وثائق FMLA ، شهادة ترخيص الطبيب ، إلخ.)	0	0	يجب أن يوفر النظام القدرة على تتبع أي وثائق و / أو نماذج موافقة مطلوبة للإجازة / الغياب (على سبيل المثال ، وثائق FMLA ، شهادة ترخيص الطبيب ، إلخ.)	0	158	1	0
نموذج تقييم ERP System	6379	نظام الموارد البشرية	المتطلبات العامة - ادارة الوقت - الاجازات	يجب أن يوفر النظام القدرة على تتبع وإدارة الأهلية والمؤهلات والاستخدام لكل نوع من الإجازات / الغياب بناءً على معايير يحددها المستخدم.	0	0	يجب أن يوفر النظام القدرة على تتبع وإدارة الأهلية والمؤهلات والاستخدام لكل نوع من الإجازات / الغياب بناءً على معايير يحددها المستخدم.	0	159	1	0
نموذج تقييم ERP System	6378	نظام الموارد البشرية	المتطلبات العامة - ادارة الوقت - الاجازات	يجب أن يوفر النظام القدرة على تعديل مستحقات خطة الإجازة / الغياب والوقت المستغرق والأرصدة وما إلى ذلك مع توفير الأمان المناسب.	0	0	يجب أن يوفر النظام القدرة على تعديل مستحقات خطة الإجازة / الغياب والوقت المستغرق والأرصدة وما إلى ذلك مع توفير الأمان المناسب.	0	160	1	0
نموذج تقييم ERP System	6377	نظام الموارد البشرية	المتطلبات العامة - ادارة الوقت - الاجازات	يجب أن يوفر النظام القدرة على إنشاء هياكل استحقاق الإجازة / الغياب التي يحددها المستخدم بناءً على سمات الموظف (قد تشمل السمات سنوات الخدمة ، وتعيين الوظيفة ، ووحدة التفاوض ، وما إلى ذلك).	0	0	يجب أن يوفر النظام القدرة على إنشاء هياكل استحقاق الإجازة / الغياب التي يحددها المستخدم بناءً على سمات الموظف (قد تشمل السمات سنوات الخدمة ، وتعيين الوظيفة ، ووحدة التفاوض ، وما إلى ذلك).	0	161	1	0
نموذج تقييم ERP System	6376	نظام الموارد البشرية	المتطلبات العامة - ادارة الوقت - الاجازات	يجب أن يوفر النظام القدرة على تحديد المعلمات ، والمبالغ المرحلة ، والسقوف ، وما إلى ذلك لخطط الإجازات / الغياب.	0	0	يجب أن يوفر النظام القدرة على تحديد المعلمات ، والمبالغ المرحلة ، والسقوف ، وما إلى ذلك لخطط الإجازات / الغياب.	0	162	1	0
نموذج تقييم ERP System	6375	نظام الموارد البشرية	المتطلبات العامة - ادارة الوقت - الاجازات	يجب أن يوفر النظام مستحقات تلقائية للإجازات بأثر رجعي بناءً على معايير يحددها المستخدم (أي الفئة ، والتعويض ، وما إلى ذلك).	0	0	يجب أن يوفر النظام مستحقات تلقائية للإجازات بأثر رجعي بناءً على معايير يحددها المستخدم (أي الفئة ، والتعويض ، وما إلى ذلك).	0	163	1	0
نموذج تقييم ERP System	6374	نظام الموارد البشرية	المتطلبات العامة - ادارة الوقت - الاجازات	يجب أن يوفر النظام القدرة على كسب استحقاقات الإجازة / الغياب أثناء الغياب المدفوع بناءً على معايير يحددها المستخدم.	0	0	يجب أن يوفر النظام القدرة على كسب استحقاقات الإجازة / الغياب أثناء الغياب المدفوع بناءً على معايير يحددها المستخدم.	0	164	1	0
نموذج تقييم ERP System	6373	نظام الموارد البشرية	المتطلبات العامة - ادارة الوقت - الاجازات	يجب أن يوفر النظام القدرة على إنتاج قائمة استحقاق المزايا عند الطلب للموظفين المعينين خلال فترة زمنية محددة.	0	0	يجب أن يوفر النظام القدرة على إنتاج قائمة استحقاق المزايا عند الطلب للموظفين المعينين خلال فترة زمنية محددة.	0	165	1	0
نموذج تقييم ERP System	6372	نظام الموارد البشرية	المتطلبات العامة - ادارة الوقت - الاجازات	يجب أن يوفر النظام علامة تحذير عندما تكون ساعات الغياب المسجلة أكبر من ساعات العمل العادية ليوم عمل محدد أو دورة دفع.	0	0	يجب أن يوفر النظام علامة تحذير عندما تكون ساعات الغياب المسجلة أكبر من ساعات العمل العادية ليوم عمل محدد أو دورة دفع.	0	166	1	0
نموذج تقييم ERP System	6371	نظام الموارد البشرية	المتطلبات العامة - ادارة الوقت - الاجازات	يجب أن يوفر النظام طريقة تحرير ومراجعة قبل معالجة معاملات الإجازة من خلال نظام الرواتب.	0	0	يجب أن يوفر النظام طريقة تحرير ومراجعة قبل معالجة معاملات الإجازة من خلال نظام الرواتب.	0	167	1	0
نموذج تقييم ERP System	6370	نظام الموارد البشرية	المتطلبات العامة - ادارة الوقت - الاجازات	يجب أن يوفر النظام القدرة على تتبع البيانات التاريخية لكل موظف في كل خطة إجازة مثل نوع الإجازة وتاريخ بدء الإجازة وتاريخ انتهاء الإجازة والعودة التقديرية إلى تاريخ العمل وتاريخ الأوراق المستلمة للموافقة عليها.	0	0	يجب أن يوفر النظام القدرة على تتبع البيانات التاريخية لكل موظف في كل خطة إجازة مثل نوع الإجازة وتاريخ بدء الإجازة وتاريخ انتهاء الإجازة والعودة التقديرية إلى تاريخ العمل وتاريخ الأوراق المستلمة للموافقة عليها.	0	168	1	0
نموذج تقييم ERP System	6369	نظام الموارد البشرية	المتطلبات العامة - ادارة الوقت - الاجازات	يجب أن يوفر النظام القدرة على استحقاق الإجازة المرضية بناءً على معايير يحددها المستخدم.	0	0	يجب أن يوفر النظام القدرة على استحقاق الإجازة المرضية بناءً على معايير يحددها المستخدم.	0	169	1	0
نموذج تقييم ERP System	6368	نظام الموارد البشرية	المتطلبات العامة - ادارة الوقت - الاجازات	يجب أن يوفر النظام القدرة على إدارة مجموعات مختلفة من الموظفين بقواعد أهلية مختلفة ومعدلات استحقاق / ربح مختلفة.	0	0	يجب أن يوفر النظام القدرة على إدارة مجموعات مختلفة من الموظفين بقواعد أهلية مختلفة ومعدلات استحقاق / ربح مختلفة.	0	170	1	0
نموذج تقييم ERP System	6367	نظام الموارد البشرية	المتطلبات العامة - ادارة الوقت - الاجازات	يجب أن يوفر النظام القدرة على التأثير على معدلات الاستحقاق ومجموعات الموظفين وأرصدة الإجازات وما إلى ذلك بناءً على القواعد التي يحددها المستخدم لمعاملات الموظفين. على سبيل المثال ، صفر أرصدة الإجازات تلقائيًا عند معالجة إجراء إنهاء الموظف.	0	0	يجب أن يوفر النظام القدرة على التأثير على معدلات الاستحقاق ومجموعات الموظفين وأرصدة الإجازات وما إلى ذلك بناءً على القواعد التي يحددها المستخدم لمعاملات الموظفين. على سبيل المثال ، صفر أرصدة الإجازات تلقائيًا عند معالجة إجراء إنهاء الموظف.	0	171	1	0
نموذج تقييم ERP System	6366	نظام الموارد البشرية	المتطلبات العامة - ادارة الوقت - الاجازات	يجب أن يوفر النظام القدرة على تتبع الإجازات المدفوعة وغير المدفوعة من كل نوع بما في ذلك على أساس الاستحقاق والحكومة المطلوبة.	0	0	يجب أن يوفر النظام القدرة على تتبع الإجازات المدفوعة وغير المدفوعة من كل نوع بما في ذلك على أساس الاستحقاق والحكومة المطلوبة.	0	172	1	0
نموذج تقييم ERP System	6365	نظام الموارد البشرية	المتطلبات العامة - ادارة الوقت - الاجازات	يجب أن يوفر النظام القدرة على دمج نشاط الوقت والحضور بشكل كامل مع نظام إدارة الإجازات بناءً على المعاملات التي يحددها المستخدم.	0	0	يجب أن يوفر النظام القدرة على دمج نشاط الوقت والحضور بشكل كامل مع نظام إدارة الإجازات بناءً على المعاملات التي يحددها المستخدم.	0	173	1	0
نموذج تقييم ERP System	6364	نظام الموارد البشرية	المتطلبات العامة - ادارة الوقت - الاجازات	يجب أن يوفر النظام القدرة على نقل الموظف تلقائيًا إلى معدل استحقاق جديد بسبب تاريخ الذكرى السنوية أو تغيير الأهلية أو تغيير قاعدة السياسة.	0	0	يجب أن يوفر النظام القدرة على نقل الموظف تلقائيًا إلى معدل استحقاق جديد بسبب تاريخ الذكرى السنوية أو تغيير الأهلية أو تغيير قاعدة السياسة.	0	174	1	0
نموذج تقييم ERP System	6363	نظام الموارد البشرية	المتطلبات العامة - ادارة الوقت - الاجازات	يجب أن يوفر النظام القدرة على تحذير الموظفين أو المشرفين أو المديرين عندما يحاول الموظف استخدام ساعات إجازة أكثر مما هو متاح حاليًا.	0	0	يجب أن يوفر النظام القدرة على تحذير الموظفين أو المشرفين أو المديرين عندما يحاول الموظف استخدام ساعات إجازة أكثر مما هو متاح حاليًا.	0	175	1	0
نموذج تقييم ERP System	6362	نظام الموارد البشرية	المتطلبات العامة - ادارة الوقت - الاجازات	يجب أن يوفر النظام القدرة على السماح للمديرين و / أو المشرفين بمشاهدة بيانات الإجازة عبر الإنترنت ذات الصلة بنطاق سلطتهم مع الأمان المناسب.	0	0	يجب أن يوفر النظام القدرة على السماح للمديرين و / أو المشرفين بمشاهدة بيانات الإجازة عبر الإنترنت ذات الصلة بنطاق سلطتهم مع الأمان المناسب.	0	176	1	0
نموذج تقييم ERP System	6361	نظام الموارد البشرية	المتطلبات العامة - ادارة الوقت - الاجازات	يجب أن يوفر النظام القدرة على إيقاف استخدام ساعات الإجازة التي لم يتم اكتسابها بعد إذا كانت سياسة المنظمة لا تسمح بأرصدة الإجازات السلبية.	0	0	يجب أن يوفر النظام القدرة على إيقاف استخدام ساعات الإجازة التي لم يتم اكتسابها بعد إذا كانت سياسة المنظمة لا تسمح بأرصدة الإجازات السلبية.	0	177	1	0
نموذج تقييم ERP System	6360	نظام الموارد البشرية	المتطلبات العامة - ادارة الوقت - الاجازات	يجب أن يوفر النظام القدرة على حساب الوقت التعويضي بناءً على قواعد أهلية الموظف المشابهة لخطة الإجازة.	0	0	يجب أن يوفر النظام القدرة على حساب الوقت التعويضي بناءً على قواعد أهلية الموظف المشابهة لخطة الإجازة.	0	178	1	0
نموذج تقييم ERP System	6359	نظام الموارد البشرية	المتطلبات العامة - ادارة الوقت - الاجازات	يجب أن يوفر النظام القدرة على حساب مستحقات الإجازة السنوية بناءً على الصيغ التي يحددها المستخدم.	0	0	يجب أن يوفر النظام القدرة على حساب مستحقات الإجازة السنوية بناءً على الصيغ التي يحددها المستخدم.	0	179	1	0
نموذج تقييم ERP System	6358	نظام الموارد البشرية	المتطلبات العامة - ادارة الوقت - الاجازات	القدرة على إنشاء إشعارات بريد إلكتروني أو خطابات نموذجية للمراسلات الآلية فيما يتعلق بالأحداث التي يحددها المستخدم بما في ذلك:ـ بدء الإجازة ،إجازة منتهية الصلاحية،إجازة بدون خطابات راتب ، خطابات إجازة الأسرة (FMLA) ، فتح التسجيل	0	0	القدرة على إنشاء إشعارات بريد إلكتروني أو خطابات نموذجية للمراسلات الآلية فيما يتعلق بالأحداث التي يحددها المستخدم بما في ذلك:ـ بدء الإجازة ،إجازة منتهية الصلاحية،إجازة بدون خطابات راتب ، خطابات إجازة الأسرة (FMLA) ، فتح التسجيل	0	180	1	0
نموذج تقييم ERP System	6357	نظام الموارد البشرية	المتطلبات العامة - ادارة الوقت - الاجازات	يجب أن يوفر النظام القدرة على إخطار إدارة الإجازات ، ومشرف الموظف و / أو المدير وأي أفراد آخرين يعتبرون لديهم "حاجة إلى المعرفة" عند اقتراب انتهاء نوع حالة الإجازة / الغياب (على سبيل المثال ، FMLA ، انتهاء صلاحية وظيفة مؤقتة).	0	0	يجب أن يوفر النظام القدرة على إخطار إدارة الإجازات ، ومشرف الموظف و / أو المدير وأي أفراد آخرين يعتبرون لديهم "حاجة إلى المعرفة" عند اقتراب انتهاء نوع حالة الإجازة / الغياب (على سبيل المثال ، FMLA ، انتهاء صلاحية وظيفة مؤقتة).	0	181	1	0
نموذج تقييم ERP System	6356	نظام الموارد البشرية	المتطلبات العامة - ادارة الوقت - الاجازات	يجب أن يوفر النظام القدرة على تتبع حالات الإجازة / الغياب المتزامنة (على سبيل المثال ، إجازة الأمومة / الغياب مع إجازة المرض / الغياب) بناءً على قواعد مختلفة.	0	0	يجب أن يوفر النظام القدرة على تتبع حالات الإجازة / الغياب المتزامنة (على سبيل المثال ، إجازة الأمومة / الغياب مع إجازة المرض / الغياب) بناءً على قواعد مختلفة.	0	182	1	0
نموذج تقييم ERP System	6355	نظام الموارد البشرية	المتطلبات العامة - ادارة الوقت - الاجازات	يجب أن يوفر النظام القدرة على تقسيم استحقاقات الإجازات للموظفين بدوام جزئي.	0	0	يجب أن يوفر النظام القدرة على تقسيم استحقاقات الإجازات للموظفين بدوام جزئي.	0	183	1	0
نموذج تقييم ERP System	6354	نظام الموارد البشرية	المتطلبات العامة - ادارة الوقت - الاجازات	يجب أن يوفر النظام القدرة على إجراء تحديثات نهاية السنة المالية على سجلات الموظفين بناءً على معايير محددة (على سبيل المثال ، سنوات الخدمة ، وعامل كسب الإجازة ، ووحدة التفاوض ، ومجموعة الموظفين ، والأقدمية ، وما إلى ذلك).	0	0	يجب أن يوفر النظام القدرة على إجراء تحديثات نهاية السنة المالية على سجلات الموظفين بناءً على معايير محددة (على سبيل المثال ، سنوات الخدمة ، وعامل كسب الإجازة ، ووحدة التفاوض ، ومجموعة الموظفين ، والأقدمية ، وما إلى ذلك).	0	184	1	0
نموذج تقييم ERP System	6353	نظام الموارد البشرية	المتطلبات العامة - ادارة الوقت - الاجازات	يجب أن يوفر النظام القدرة على إنشاء ملف تعريف الإجازة / الغياب بناءً على معايير يحددها المستخدم لقسم أو نطاق زمني أو موظف أو مشرف أو معلمات أخرى يحددها المستخدم.	0	0	يجب أن يوفر النظام القدرة على إنشاء ملف تعريف الإجازة / الغياب بناءً على معايير يحددها المستخدم لقسم أو نطاق زمني أو موظف أو مشرف أو معلمات أخرى يحددها المستخدم.	0	185	1	0
نموذج تقييم ERP System	6352	نظام الموارد البشرية	المتطلبات العامة - ادارة الوقت - الاجازات	يجب أن يوفر النظام القدرة على تتبع بيانات الإجازات المتكاملة بناءً على أنواع متعددة مثل المرض ، وتعويضات العمال ، والإجازة ، والإعاقة ، و "الجرحى أثناء العمل" ، فضلاً عن البيانات التي يحددها المستخدم.	0	0	يجب أن يوفر النظام القدرة على تتبع بيانات الإجازات المتكاملة بناءً على أنواع متعددة مثل المرض ، وتعويضات العمال ، والإجازة ، والإعاقة ، و "الجرحى أثناء العمل" ، فضلاً عن البيانات التي يحددها المستخدم.	0	186	1	0
نموذج تقييم ERP System	6351	نظام الموارد البشرية	المتطلبات العامة - ادارة الوقت - الاجازات	يجب أن يوفر النظام القدرة على فصل الإجازات المكتسبة والمأخوذة في سنوات تقويمية منفصلة بناءً على كشوف المرتبات وبيانات ضبط الوقت الخاصة بتاريخ الاستخدام.	0	0	يجب أن يوفر النظام القدرة على فصل الإجازات المكتسبة والمأخوذة في سنوات تقويمية منفصلة بناءً على كشوف المرتبات وبيانات ضبط الوقت الخاصة بتاريخ الاستخدام.	0	187	1	0
نموذج تقييم ERP System	6350	نظام الموارد البشرية	المتطلبات العامة - ادارة الوقت - الاجازات	يجب أن يوفر النظام القدرة على الحفاظ بدقة على معلومات الإجازة للموظفين الذين يتنقلون بين حالات أهلية الموظف ، ووحدات التفاوض ، والتصنيفات الموحدة وغير الموحدة ، وما إلى ذلك.	0	0	يجب أن يوفر النظام القدرة على الحفاظ بدقة على معلومات الإجازة للموظفين الذين يتنقلون بين حالات أهلية الموظف ، ووحدات التفاوض ، والتصنيفات الموحدة وغير الموحدة ، وما إلى ذلك.	0	188	1	0
نموذج تقييم ERP System	6349	نظام الموارد البشرية	المتطلبات العامة - ادارة الوقت - الاجازات	يجب أن يوفر النظام القدرة على ملء التواريخ تلقائيًا في نطاق للإجازة أو الإجازة. على سبيل المثال ، قد يقوم المستخدم بإدخال تاريخ بدء وتاريخ انتهاء وسيملأ النظام الأيام بينهما بشرط أن يكون رمز الغياب هو نفسه والأيام متتالية.	0	0	يجب أن يوفر النظام القدرة على ملء التواريخ تلقائيًا في نطاق للإجازة أو الإجازة. على سبيل المثال ، قد يقوم المستخدم بإدخال تاريخ بدء وتاريخ انتهاء وسيملأ النظام الأيام بينهما بشرط أن يكون رمز الغياب هو نفسه والأيام متتالية.	0	189	1	0
نموذج تقييم ERP System	6348	نظام الموارد البشرية	المتطلبات العامة - ادارة الوقت - الاجازات	يجب أن يوفر النظام القدرة على السماح ببعض التصحيحات ، مثل الاستحقاقات ، وإدخال الوقت ، وما إلى ذلك لتاريخ الإجازة المأخوذة بالإضافة إلى تصحيحات المعلمات الحالية مثل معدل الاستحقاق والتوازن.	0	0	يجب أن يوفر النظام القدرة على السماح ببعض التصحيحات ، مثل الاستحقاقات ، وإدخال الوقت ، وما إلى ذلك لتاريخ الإجازة المأخوذة بالإضافة إلى تصحيحات المعلمات الحالية مثل معدل الاستحقاق والتوازن.	0	190	1	0
نموذج تقييم ERP System	6347	نظام الموارد البشرية	المتطلبات العامة - ادارة الوقت - الاجازات	يجب أن يوفر النظام حقلاً للإشارة إلى حالة إجازة الموظف لأغراض إعداد التقارير. كحد أدنى ، يجب أن يتمتع النظام بالقدرة على إدخال محفوظات وحفظها للعديد من الإجازات التي أخذها الموظف مثل نوع الإجازة ويوم بدء الإجازة وما إلى ذلك.	0	0	يجب أن يوفر النظام حقلاً للإشارة إلى حالة إجازة الموظف لأغراض إعداد التقارير. كحد أدنى ، يجب أن يتمتع النظام بالقدرة على إدخال محفوظات وحفظها للعديد من الإجازات التي أخذها الموظف مثل نوع الإجازة ويوم بدء الإجازة وما إلى ذلك.	0	191	1	0
